TB_NUM,JUMBO,BREED,LACTATION,CALVING_DATE,DIM,WEEKOFYEAR,DATEOFSCORING,BCS0_5,BCS1_5,BODY_WEIGHT,MANUALBCS_FB,MANUALBCS_JK
IE151604921078,1078,FR,2,23/02/2016,35,13,29/03/2016,,2.74,462,,
IE151604921078,1078,FR,2,23/02/2016,42,14,05/04/2016,,2.65,469.5,,
IE151604921078,1078,FR,2,23/02/2016,49,15,12/04/2016,,2.9,453,2.75,2.5
IE151604921078,1078,FR,2,23/02/2016,56,16,19/04/2016,,3.02,499,,
IE151604921078,1078,FR,2,23/02/2016,63,17,26/04/2016,,3.13,485,2.5,
IE151604921078,1078,FR,2,23/02/2016,70,18,03/05/2016,,2.91,479,,
IE151604991092,1092,FR,2,07/03/2016,36,15,12/04/2016,,3.48,,3,3.25
IE151604921078,1078,FR,2,23/02/2016,84,20,17/05/2016,,2.83,454,,
IE151604921078,1078,FR,2,23/02/2016,91,21,24/05/2016,,2.86,,,
IE151604921078,1078,FR,2,23/02/2016,98,22,31/05/2016,,2.89,518,,
IE151604921094,1094,FR,2,29/01/2016,74,15,12/04/2016,,3.26,,2.75,2.75
IE151604971140,1140,FR,2,23/02/2016,49,15,12/04/2016,,3.15,512,3,3
IE151941640122,122,FR,2,04/02/2016,68,15,12/04/2016,,3.11,468,2.5,2.75
IE151604921078,1078,FR,2,23/02/2016,182,34,23/08/2016,,2.92,,,
IE151604921078,1078,FR,2,23/02/2016,189,35,30/08/2016,,3,484,,
IE151604921078,1078,FR,2,23/02/2016,196,36,06/09/2016,,2.96,491,,
IE151604921078,1078,FR,2,23/02/2016,217,39,27/09/2016,,3.07,402,,
IE151604921078,1078,FR,2,23/02/2016,224,40,04/10/2016,,2.93,,,
IE151604921078,1078,FR,2,23/02/2016,231,41,11/10/2016,,2.97,473,2.5,
IE151604921078,1078,FR,2,23/02/2016,238,42,18/10/2016,,2.97,520,,
IE151604921078,1078,FR,2,23/02/2016,245,43,25/10/2016,,3.07,536,,
IE151604921078,1078,FR,2,23/02/2016,252,44,01/11/2016,,2.91,528,2.5,
IE151604991092,1092,FR,2,07/03/2016,22,13,29/03/2016,,3.49,558,,
IE371010021255,1255,FR,1,06/02/2016,66,15,12/04/2016,,3.25,428,2.5,2.75
IE151604991092,1092,FR,2,07/03/2016,43,16,19/04/2016,,3.26,561,,
IE371010051266,1266,FR,1,26/01/2016,77,15,12/04/2016,,3.56,441,3,3
IE151604991092,1092,FR,2,07/03/2016,85,22,31/05/2016,,3.62,,,
IE151941650131,131,FR,2,20/02/2016,52,15,12/04/2016,,3.39,444,3,3
IE191574491390,1390,FR,4,17/02/2016,55,15,12/04/2016,,3.47,575,3,3
IE151604991092,1092,FR,2,07/03/2016,169,34,23/08/2016,,3.73,,,
IE151604991092,1092,FR,2,07/03/2016,176,35,30/08/2016,,3.55,581,,
IE151604991092,1092,FR,2,07/03/2016,183,36,06/09/2016,,3.42,631,,
IE151604991092,1092,FR,2,07/03/2016,204,39,27/09/2016,,3.45,521,,
IE151604991092,1092,FR,2,07/03/2016,211,40,04/10/2016,,3.53,563,,
IE151604991092,1092,FR,2,07/03/2016,225,42,18/10/2016,,3.54,664,,
IE151604991092,1092,FR,2,07/03/2016,232,43,25/10/2016,,3.58,667,,
IE151604991092,1092,FR,2,07/03/2016,239,44,01/11/2016,,3.67,651,3,
IE151581581764,1764,FR,4,31/01/2016,72,15,12/04/2016,,3.76,574,3.25,3.25
IE151604991092,1092,FR,2,07/03/2016,260,47,22/11/2016,,3.54,658,,
IE151604991092,1092,FR,2,07/03/2016,267,48,29/11/2016,,3.59,,,
IE151604921094,1094,FR,2,29/01/2016,60,13,29/03/2016,,3.26,480,,
IE151604921094,1094,FR,2,29/01/2016,67,14,05/04/2016,,3.1,471,,
