EARTAG,LACTATION,CALVING,DIM,WEEK_OF_YEAR,DATE,BCS 1-5
IRE_MP_1078 ,2,23/02/2016,35,13,29/03/2016,2.74
IRE_MP_1078 ,2,23/02/2016,42,14,05/04/2016,2.65
IRE_MP_1078 ,2,23/02/2016,49,15,12/04/2016,2.90
IRE_MP_1078 ,2,23/02/2016,56,16,19/04/2016,3.02
IRE_MP_1078 ,2,23/02/2016,63,17,26/04/2016,3.13
IRE_MP_1078 ,2,23/02/2016,70,18,03/05/2016,2.91
IRE_MP_1078 ,2,23/02/2016,77,19,10/05/2016,2.85
IRE_MP_1078 ,2,23/02/2016,84,20,17/05/2016,2.83
IRE_MP_1078 ,2,23/02/2016,91,21,24/05/2016,2.86
IRE_MP_1078 ,2,23/02/2016,98,22,31/05/2016,2.89
IRE_MP_1078 ,2,23/02/2016,105,23,07/06/2016,2.93
IRE_MP_1078 ,2,23/02/2016,147,29,19/07/2016,2.73
IRE_MP_1078 ,2,23/02/2016,175,33,16/08/2016,2.87
IRE_MP_1078 ,2,23/02/2016,182,34,23/08/2016,2.92
IRE_MP_1078 ,2,23/02/2016,189,35,30/08/2016,3.00
IRE_MP_1078 ,2,23/02/2016,196,36,06/09/2016,2.96
IRE_MP_1078 ,2,23/02/2016,217,39,27/09/2016,3.07
IRE_MP_1078 ,2,23/02/2016,224,40,04/10/2016,2.93
IRE_MP_1078 ,2,23/02/2016,231,41,11/10/2016,2.97
IRE_MP_1078 ,2,23/02/2016,238,42,18/10/2016,2.97
IRE_MP_1078 ,2,23/02/2016,245,43,25/10/2016,3.07
IRE_MP_1078 ,2,23/02/2016,252,44,01/11/2016,2.91
IRE_MP_1092 ,2,07/03/2016,22,13,29/03/2016,3.49
IRE_MP_1092 ,2,07/03/2016,36,15,12/04/2016,3.48
IRE_MP_1092 ,2,07/03/2016,43,16,19/04/2016,3.26
IRE_MP_1092 ,2,07/03/2016,64,19,10/05/2016,3.58
IRE_MP_1092 ,2,07/03/2016,85,22,31/05/2016,3.62
IRE_MP_1092 ,2,07/03/2016,92,23,07/06/2016,3.60
IRE_MP_1092 ,2,07/03/2016,134,29,19/07/2016,3.58
IRE_MP_1092 ,2,07/03/2016,169,34,23/08/2016,3.73
IRE_MP_1092 ,2,07/03/2016,176,35,30/08/2016,3.55
IRE_MP_1092 ,2,07/03/2016,183,36,06/09/2016,3.42
IRE_MP_1092 ,2,07/03/2016,204,39,27/09/2016,3.45
IRE_MP_1092 ,2,07/03/2016,211,40,04/10/2016,3.53
IRE_MP_1092 ,2,07/03/2016,225,42,18/10/2016,3.54
IRE_MP_1092 ,2,07/03/2016,232,43,25/10/2016,3.58
IRE_MP_1092 ,2,07/03/2016,239,44,01/11/2016,3.67
IRE_MP_1092 ,2,07/03/2016,246,45,08/11/2016,3.63
IRE_MP_1092 ,2,07/03/2016,260,47,22/11/2016,3.54
IRE_MP_1092 ,2,07/03/2016,267,48,29/11/2016,3.59
IRE_MP_1094 ,2,29/01/2016,60,13,29/03/2016,3.26
IRE_MP_1094 ,2,29/01/2016,67,14,05/04/2016,3.10
IRE_MP_1094 ,2,29/01/2016,74,15,12/04/2016,3.26
IRE_MP_1094 ,2,29/01/2016,81,16,19/04/2016,3.26
IRE_MP_1094 ,2,29/01/2016,95,18,03/05/2016,3.32
IRE_MP_1094 ,2,29/01/2016,102,19,10/05/2016,3.35
IRE_MP_1094 ,2,29/01/2016,109,20,17/05/2016,3.36
